time,lat,lon,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-06-23T21:06:40.943Z,40.6187,-109.4929,0,3.1,ml,22,111,0.877,0.45,us,us7000hjr6,2022-08-28T03:20:43.040Z,"17 km NNE of Maeser, Utah",mining explosion,3,0.8,0.031,140,reviewed,us,us
2022-06-19T20:01:53.066Z,43.7765,-105.344,0,3.4,ml,19,81,1.005,0.41,us,us7000hikp,2022-08-28T03:18:53.040Z,"12 km ENE of Wright, Wyoming",mining explosion,4,1.7,0.064,32,reviewed,us,us
2022-06-13T21:29:00.007Z,40.63,-109.4837,0,3.3,ml,37,101,0.088,0.47,us,us7000hh66,2022-08-21T00:16:54.040Z,"19 km NNE of Maeser, Utah",mining explosion,2,0.9,0.034,116,reviewed,us,us
2022-06-10T19:09:34.486Z,43.5764,-105.3368,0,3.3,ml,20,76,1.087,1.32,us,us7000hgkk,2022-08-13T21:52:19.040Z,"23 km SSE of Wright, Wyoming",mining explosion,2.9,1.9,0.045,66,reviewed,us,us
2022-06-06T19:01:46.517Z,43.7673,-105.3272,0,3.3,ml,16,81,0.997,0.53,us,us7000hfeh,2022-08-13T21:51:37.040Z,"13 km E of Wright, Wyoming",mining explosion,7.3,1.2,0.048,58,reviewed,us,us
2022-05-26T21:21:59.894Z,45.0722,-106.9388,0,2.9,ml,28,97,1.649,1.23,us,us7000hcut,2022-08-02T19:50:55.040Z,"25 km NE of Ranchester, Wyoming",mining explosion,3.2,1.6,0.048,58,reviewed,us,us
2022-05-26T17:15:54.810Z,47.5494,-92.582,0,2.9,ml,21,80,0.833,0.92,us,us7000hcss,2022-08-02T19:50:55.040Z,"2 km N of Parkville, Minnesota",mining explosion,3.2,2,0.105,12,reviewed,us,us
2022-05-25T19:21:54.398Z,43.6688,-105.266,0,3.1,ml,13,124,0.997,0.54,us,us7000hchm,2022-08-02T19:50:51.040Z,"20 km ESE of Wright, Wyoming",mining explosion,5.9,1.7,0.051,50,reviewed,us,us
2022-05-24T21:18:50.045Z,40.6263,-109.4424,0,3.2,ml,16,136,0.111,0.48,us,us7000hcaj,2022-08-02T19:50:49.040Z,"20 km NNE of Vernal, Utah",mining explosion,1.2,1.5,0.044,68,reviewed,us,us
2022-05-24T20:05:25.843Z,43.7537,-105.3883,0,3.2,ml,22,68,1.043,0.37,us,us7000hc9y,2022-08-02T19:50:49.040Z,"8 km E of Wright, Wyoming",mining explosion,5.6,1.3,0.044,68,reviewed,us,us
2022-05-20T20:04:38.387Z,43.7222,-105.3424,0,3.1,ml,70,59,1.024,0.9,us,us6000hmrm,2022-07-24T02:40:43.040Z,"12 km ESE of Wright, Wyoming",mining explosion,2.3,1.7,0.044,68,reviewed,us,us
2022-05-19T20:44:18.996Z,46.0062,-106.7578,0,3.2,ml,22,105,0.776,1.03,us,us6000hmgl,2022-07-24T02:40:27.040Z,"17 km NW of Colstrip, Montana",mining explosion,6.8,1.9,0.048,56,reviewed,us,us
2022-05-17T20:10:27.645Z,43.7914,-105.3333,0,3.2,ml,33,60,0.993,0.66,us,us6000hlv1,2022-07-24T02:39:35.040Z,"13 km ENE of Wright, Wyoming",mining explosion,2.6,1.8,0.045,66,reviewed,us,us
2022-05-17T19:13:10.880Z,43.6413,-105.3566,0,3.3,ml,21,74,1.068,1.08,us,us6000hlup,2022-07-24T02:39:35.040Z,"16 km SE of Wright, Wyoming",mining explosion,3.6,1.8,0.044,68,reviewed,us,us
2022-05-15T20:02:46.570Z,43.7103,-105.321,0,3.5,ml,21,77,1.015,0.53,us,us6000hlch,2022-07-24T02:38:57.040Z,"14 km ESE of Wright, Wyoming",mining explosion,4.1,1.7,0.047,60,reviewed,us,us
2022-05-13T14:49:33.983Z,45.9615,-106.5758,0,3.2,ml,24,116,0.767,0.53,us,us6000hkxb,2022-07-22T18:30:55.040Z,"9 km NNE of Colstrip, Montana",mining explosion,4.5,2,0.055,44,reviewed,us,us
