time,lat,lon,depth,mag,magType,nst,gap,dmin,rms
2022-11-18T18:58:39.370Z,31.63956788,-104.013195,6.041589355,2.7,ml,25,40,0.020180415,0.1
2022-11-18T09:04:56.057Z,31.63248808,-104.0005158,6.093005371,2.7,ml,36,50,0.019438588,0.2
2022-11-18T08:12:39.614Z,31.62771827,-103.9838138,7.661193848,2.5,ml,50,49,0.021300908,0.2
2022-11-18T05:34:56.995Z,31.66548399,-104.5398877,6.131567383,2.9,ml,38,79,0.03349556,0.2
2022-11-18T03:34:03.001Z,31.63077607,-103.9971448,9.473608398,2.7,ml,69,31,0.020737828,0.2
2022-11-18T03:10:16.172Z,31.64886475,-104.5844846,7.018513997,2.9,ml,39,80,0.073980744,0.2
2022-11-18T01:49:19.379Z,35.87416667,-97.58933333,9.75,2.64,ml,90,32,0,0.16
2022-11-17T19:00:24.883Z,31.6348178,-103.9911103,6.427209473,2.5,ml,40,32,0.027257114,0.2
2022-11-17T14:43:12.764Z,30.71228027,-104.673447,6.602783203,2.5,ml,36,138,0.278154846,0.3
2022-11-17T13:23:21.942Z,44.2235,-116.2207,10,3.4,ml,16,64,0.857,0.64
2022-11-17T12:31:55.560Z,31.61738727,-103.980808,8.22677002,2.5,ml,23,87,0.012210386,0.2
2022-11-17T11:29:42.805Z,31.6196887,-103.9797423,6.350085449,2.5,ml,21,86,0.012944339,0.1
2022-11-17T05:23:15.064Z,31.63748457,-104.0174897,7.224157715,2.7,ml,73,39,0.017715896,0.3
2022-11-17T04:38:31.981Z,31.63563504,-103.9872129,8.625244141,3.8,ml,61,57,0.030502619,0.2
2022-11-17T01:49:06.251Z,31.61709197,-104.0004432,8.021105957,2.5,ml,46,34,0.01501811,0.2
2022-11-17T01:07:11.932Z,31.61013778,-103.9841374,9.627856445,2.9,ml,52,42,0.013061864,0.2
2022-11-17T01:04:09.070Z,31.61714426,-103.9848418,9.229382324,3.5,ml,73,39,0.015099338,0.2
